Fraud,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Normal
0,51481.4061393155,-0.2812201329,0.0555997219,0.6798982337999999,0.0793717113,-0.2574359828,0.126085555,-0.1435586482,-0.0297314531,-0.2711861225,-0.009008494399999999,0.1368696475,0.2375658039,-0.1296117932,0.0051104334,0.203129681,0.0698117843,-0.0298381272,-0.1124333316,-0.0318247546,0.0156915488,-0.05994473,-0.08682713630000001,-0.039126749100000004,0.0526564475,0.1402795503,0.029902567400000003,0.0178575072,-0.0031518312,81.7431286895,1.0
0,143118.978484566,0.10462757689999999,0.13332052519999998,-0.72277383,-0.1642914526,0.2909121413,-0.1282328333,0.010532665900000002,-0.0401963215,0.010489759199999999,0.018597573200000002,-0.3302745909,0.193379388,-0.1104049367,-0.0508761566,-0.17909437120000002,0.0202111874,-0.050153340899999996,0.09386730509999999,0.0388314465,-0.1241794308,0.061599108799999996,0.2040538156,0.0448000471,0.0416836652,-0.1127920332,-0.0022938349,-0.0262541243,0.0167173077,53.835191768,1.0
0,84567.4674220961,-0.0602011206,0.1602095636,0.8267527013,-0.3364565329,-0.36223966700000004,-0.0992810583,-0.2576077622,0.0436281054,0.5089957468999999,-0.436367149,-0.040953872599999996,0.3854362033,-0.2300868473,-0.0583395275,0.5767254685000001,-0.1126434183,-0.1064272705,0.1121852665,0.1747087619,-0.0173611046,-0.067122745,-0.019298447399999998,-0.055904082599999995,-0.0724269926,0.2318440168,-0.2471296354,0.0059431843,0.0006796367,34.7166288952,1.0
0,35182.7388949084,-0.0693035686,-0.014451229599999999,0.7340471092,0.07332341519999999,-0.1397024489,0.0127320057,-0.1176384007,0.11844999490000001,-0.2555079359,0.09639803179999999,0.12359259460000001,0.12850065619999998,-0.19520498960000002,-0.08030738330000001,0.2174528366,-0.0055873371,-0.0097042569,-0.132892827,-0.0195380282,0.0264943716,-0.026771582000000002,-0.09405595630000001,-0.033325910800000004,-0.021526589500000002,0.1595659341,0.0188954954,-0.0083742202,0.0134730471,64.3434344529,1.0
0,113118.026604069,1.0782854514,0.0862435127,-0.9519099048,-0.11232111939999999,0.4268755671,-0.41093017119999997,0.18955107510000002,-0.1463389295,0.3210686733,-0.0041899038,-0.37250102259999995,0.0528968139,-0.43307797649999996,0.2888665214,0.2975471257,-0.06519778379999999,-0.3619827809,0.169905628,0.0854846569,-0.1366015724,0.1696556836,0.4807836578,0.0013851360000000001,0.22189988600000002,0.058532355700000004,-0.2411072675,0.0433299262,0.0016868027999999999,24.3695461659,1.0
0,163595.614785992,0.4692685779,0.0550715434,-0.4198147472,-0.1450822622,0.162986546,-0.24742343690000002,0.052570883799999996,-0.0025343321,0.13945401640000002,-0.08579365130000001,-0.2863233777,0.2084432245,-0.1303580824,-0.0605166191,0.015117793000000001,0.0407194991,-0.1930417313,0.1886935378,0.0811969068,-0.0809660649,-0.0011655653999999998,0.0170620064,0.0381698258,-0.049805286,-0.1393422947,-0.1497361046,0.0261709652,-0.0109335701,52.1877626459,1.0
0,2043.3127490044,-0.4762085917,0.3667015636,0.9196840471,0.021184573300000002,-0.0776268032,0.0469562702,0.0811230281,-0.0266139643,0.0964752682,-0.0619856362,0.059272886500000004,0.2895915238,-0.1551024111,-0.10625497130000001,0.3470750079,-0.19727472640000002,-0.0274222525,-0.15761631369999998,-0.0044816349,0.0339965495,0.052056379400000005,-0.08416155369999999,-0.015238373700000002,0.057744696500000005,0.06942691690000001,-0.0113106058,0.0801322529,0.0027155923,55.4077689243,1.0
0,134518.326142132,0.3595561889,0.0780743626,-0.7140244456999999,-0.1857929064,0.40729096950000004,-0.099658378,0.19924013989999997,-0.15031776,-0.0707732678,0.0693484354,-0.21413322640000002,0.12233846779999999,-0.1508247271,-0.1064061896,-0.18975211690000002,-0.024970506200000003,-0.09069327880000001,0.1126274067,0.0095907362,-0.0662037238,0.0429833311,0.2128074455,0.009801140699999999,0.0192098279,-0.07165733839999999,0.008895584599999999,-0.014571989799999999,0.0129059121,65.5936928934,1.0
0,67563.1037099496,-0.1559822311,-0.0454485321,1.1670972219,-0.2322258306,-0.5089343981000001,0.38764165770000003,-0.5032054936,0.2081038089,0.0290617747,0.0491262091,-0.09447161009999999,0.0075871568000000006,-0.45273129100000004,-0.39894956659999997,-0.31770158260000003,0.2065985612,0.22506243239999998,-0.4042177329,0.1849988258,0.0279992731,-0.0172161073,0.18093931670000002,-0.08976520380000001,0.0244824711,0.19771490670000003,-0.0037936165000000003,0.0601337629,0.0056056959,37.8005649241,1.0
0,125475.55162523901,0.3895830886,-0.1328155922,-0.5665801556,-0.1110786406,0.4018500758,0.034898172000000005,0.0813600842,-0.076673797,-0.0546434125,0.13161182400000002,-0.2803814853,0.0532897127,-0.22694167920000002,-0.10471122470000001,-0.2155192493,-0.019121523999999997,-0.1156041975,0.045779180999999995,0.0269948129,-0.1002451384,0.0374048057,0.1889742312,0.047733082,-0.0270802977,-0.0775990282,-0.0428710655,-0.0157920888,-0.0027352714,67.72811663479999,1.0
